4 1 5 2 3
7 2 9 7 5
8 4 14 10 9
9 9 17 14 11
14 10 20 18 13
17 15 22 19 17
20 20 24 20 21
24 25 25 23 23
28 28 26 25 28
32 30 31 26 31
34 33 35 31 32
39 34 39 34 34
44 35 43 37 36
47 40 47 38 38
49 45 50 42 39
54 47 51 46 42
59 48 55 49 44
64 51 56 53 46
65 55 58 56 51
70 58 59 58 55
75 59 61 62 58
80 63 63 65 59
85 66 65 69 60
89 67 70 72 62
93 68 75 74 65
96 70 76 78 70
99 75 78 79 74
101 79 81 84 75
103 84 85 85 78
107 85 88 90 80
110 86 92 92 85
114 89 94 97 86
115 91 98 102 89
116 96 102 105 91
121 97 105 107 95
125 98 110 109 98
128 102 115 111 99
130 106 118 116 100
131 109 123 120 102
132 111 127 125 105
134 116 130 129 106
136 117 133 133 111
138 122 134 137 114
143 124 137 141 115
146 126 142 145 116
149 128 143 149 121
152 129 145 154 125
156 131 146 157 130
158 136 147 161 133
161 141 151 162 135
164 143 155 167 136
169 145 158 171 137
172 146 163 173 141
174 147 166 177 146
175 149 170 182 149
179 150 173 187 151
184 151 175 190 155
186 152 179 195 158
187 157 183 197 161
188 161 185 200 166
193 163 186 204 169
197 164 188 209 172
202 165 190 212 176
204 169 195 213 179
205 174 199 216 181
206 177 203 221 183
210 180 208 223 184
214 182 213 224 187
218 183 216 229 189
223 184 220 232 191
226 185 222 237 195
230 186 224 242 198
233 187 226 247 202
237 189 231 250 203
238 192 236 252 207
240 193 240 257 210
241 198 242 260 214
244 203 243 264 216
246 208 246 265 220
249 210 250 270 221
250 214 253 275 223
252 217 254 279 228
253 220 256 283 233
257 223 257 285 238
262 225 258 288 242
265 229 260 289 247
268 231 265 290 251
269 235 270 293 253
270 237 275 296 257
274 239 280 297 260
276 242 285 298 264
280 243 290 301 266
282 246 295 305 267
285 247 300 309 269
289 249 303 314 270
291 252 307 319 271
295 254 310 320 276
300 258 311 322 279
304 263 314 323 281
309 267 315 326 283
311 272 318 327 287
312 274 323 331 290
315 275 328 333 294
319 276 331 338 296
324 277 334 340 300
326 278 338 343 305
327 283 342 346 307
331 285 345 351 308
333 290 349 354 309
336 292 353 359 310
338 293 357 364 313
343 296 359 368 314
348 298 360 372 317
352 301 361 377 319
355 303 366 381 320
360 304 369 385 322
363 306 373 390 323
367 307 376 392 328
372 310 377 394 332
376 313 379 395 337
381 316 380 397 341
383 317 384 400 346
385 322 387 401 350
390 325 388 403 354
393 327 389 407 359
396 328 391 412 363
398 332 392 417 366
402 337 393 420 368
407 340 394 422 372
412 341 396 425 376
413 346 398 429 379
417 351 401 430 381
422 355 403 431 384
424 358 404 435 389
429 359 407 439 391
434 362 409 440 395
437 363 411 445 399
438 367 414 447 404
443 371 417 448 406
448 375 419 451 407
450 379 422 456 408
452 382 426 461 409
453 384 431 464 413
458 385 435 466 416
461 386 440 470 418
463 389 445 474 419
466 391 450 478 420
468 395 453 483 421
470 400 456 487 422
471 405 460 489 425
474 406 462 494 429
475 408 467 497 433
479 410 472 498 436
481 411 477 501 440
482 416 481 503 443
483 421 484 505 447
485 425 485 508 452
488 430 486 510 456
490 434 489 511 461
494 437 491 512 466
496 441 492 517 469
498 445 497 520 470
499 449 499 525 473
502 453 501 530 474
506 455 502 533 479
509 456 506 535 484
513 458 509 536 489
515 461 513 537 494
516 463 518 541 497
521 464 521 543 501
524 469 522 545 505
528 471 525 546 510
529 473 529 551 513
534 476 533 552 515
537 478 537 557 516
541 481 539 562 517
543 482 544 566 520
545 485 549 570 521
550 489 552 571 523
554 494 553 574 525
556 498 558 577 526
557 503 561 581 528
560 508 562 585 530
562 513 566 588 531
563 516 571 592 533
568 519 573 596 534
570 523 578 599 535
571 525 581 603 540
574 527 582 607 545
576 532 583 610 549
578 537 584 613 553
580 540 589 614 557
582 543 594 615 561
583 546 599 619 563
588 547 602 623 565
593 548 606 625 568
597 550 611 626 571
599 551 615 631 574
600 555 620 634 576
602 559 623 639 577
604 564 626 643 578
607 566 627 648 582
610 568 632 652 583
614 573 635 654 584
617 577 640 656 585
620 579 644 657 590
623 581 649 658 594
625 582 653 661 599
627 583 656 666 603
631 584 658 669 608
636 585 661 671 612
639 589 663 672 617
642 593 664 674 622
645 594 668 676 
